name,dimension,capacity,density,avg_demand,std_demand,depot_x_location_ratio,depot_y_location_ratio,demand_to_capacity_ratio,hull_to_square_ratio,num_clusters,std_cluster_size,avg_cluster_distance,std_cluster_distance
A-n36-k5,36,100,0.0046728971962616,12.628571428571428,6.589143094719455,0.1521739130434782,0.1914893617021276,4.42,0.8908418131359852,6,2.23606797749979,56.03152642002237,27.54008552586192
A-n63-k9,63,100,0.0072614107883817,14.080645161290322,7.415752810125068,0.9183673469387756,0.9387755102040816,8.73,0.9033735943356934,9,2.0,63.89295996612883,31.37393393444905
A-n34-k5,34,100,0.0047209108580949,13.93939393939394,7.241112630059839,0.75,0.3478260869565217,4.6,0.8154438405797102,6,3.872983346207417,45.370062373643066,18.99286955503456
A-n33-k6,33,100,0.0046397188049209,16.90625,11.397111617677808,0.3707865168539326,0.3263157894736842,5.41,0.8412182140745121,8,2.0,44.2159017090526,16.7982888366775
A-n63-k10,63,100,0.0073606729758149,15.03225806451613,9.82463905303777,0.7575757575757576,0.75,9.32,0.8645454545454545,9,2.0,48.372900381781,22.87927019839556
A-n62-k8,62,100,0.0070187354955566,12.01639344262295,7.9592541595275295,0.0208333333333333,0.4795918367346938,7.33,0.9389349489795918,10,1.7320508075688772,60.33981346191713,28.33396256888947
A-n46-k7,46,100,0.0059570059570059,13.4,7.2312453347199535,0.7659574468085106,0.5625,6.03,0.855718085106383,8,2.0,45.524645145013565,21.83686777815619
A-n39-k5,39,100,0.0050322580645161,12.5,8.07314533968488,0.0833333333333333,0.3541666666666667,4.75,0.8409288194444444,6,2.0,48.30403651054893,26.39712969055857
A-n60-k9,60,100,0.0076355306693815,14.05084745762712,9.377933984687523,0.2765957446808511,0.9565217391304348,8.29,0.9086493987049028,9,2.0,52.07706938813045,28.968125596050708
A-n33-k5,33,100,0.005426292855381,13.9375,6.34968884175412,0.4666666666666667,0.6842105263157895,4.46,0.8535438596491228,5,1.4142135623730951,40.619429293136456,19.23935615157449
A-n54-k7,54,100,0.0069142125480153,12.62264150943396,7.756452438241684,0.6382978723404256,0.0217391304347826,6.69,0.9030989824236818,6,2.449489742783178,53.29745720191705,25.32057938989061
A-n37-k6,37,100,0.0047034894807093,15.833333333333334,11.136811546783552,0.8585858585858586,0.217391304347826,5.7,0.8636912604303909,7,1.7320508075688772,50.98181991560092,29.55818121687325
A-n44-k6,44,100,0.0052989703137231,13.255813953488373,6.5650337222352775,0.134020618556701,0.6907216494845361,5.7,0.8825061111701562,8,1.7320508075688772,51.32871189879544,22.12657931757967
A-n32-k5,32,100,0.0041354355130524,13.225806451612904,7.255846734045379,0.8350515463917526,0.7789473684210526,4.1,0.8397178513293543,5,1.7320508075688772,62.13252941281282,24.394323868665406
A-n38-k5,38,100,0.005299860529986,13.0,6.936217348894937,0.7083333333333334,0.627906976744186,4.81,0.8684593023255814,8,2.23606797749979,43.82794521644389,17.28693088494583
